case	round	attempt	stratum	baseline_wall_s	candidate_wall_s	wall_log_ratio	baseline_rss_kb	candidate_rss_kb	rss_difference_kb	baseline_raw	candidate_raw
indented_direct_1k	3	1	BC	11.91	12.26	0.028963547141	8576	8704	128	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r03_a1_o03_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r03_a1_o03_indented_direct_1k_candidate.raw
indented_direct_1k	4	1	CB	16.68	13.28	-0.227951252882	8448	8832	384	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r04_a1_o06_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r04_a1_o06_indented_direct_1k_candidate.raw
indented_direct_1k	5	1	BC	13.77	14.55	0.055098680877	8320	8576	256	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r05_a1_o03_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r05_a1_o03_indented_direct_1k_candidate.raw
indented_direct_1k	6	1	CB	15.07	13.17	-0.134764496883	8576	8704	128	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r06_a1_o06_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r06_a1_o06_indented_direct_1k_candidate.raw
indented_direct_1k	7	1	BC	11.35	12.40	0.088478728684	8320	8576	256	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r07_a1_o03_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r07_a1_o03_indented_direct_1k_candidate.raw
indented_direct_1k	8	1	CB	16.76	17.54	0.045488891890	8448	8704	256	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r08_a1_o06_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r08_a1_o06_indented_direct_1k_candidate.raw
indented_direct_1k	9	1	BC	13.02	13.64	0.046520015635	8576	8576	0	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r09_a1_o03_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r09_a1_o03_indented_direct_1k_candidate.raw
indented_direct_1k	10	3	CB	15.51	16.92	0.087011376990	8448	8832	384	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r10_a3_o06_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r10_a3_o06_indented_direct_1k_candidate.raw
indented_direct_1k	11	1	BC	18.38	17.35	-0.057670610535	8448	8576	128	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r11_a1_o03_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r11_a1_o03_indented_direct_1k_candidate.raw
indented_direct_1k	12	1	CB	14.33	14.19	-0.009817750668	8320	8832	512	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r12_a1_o06_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r12_a1_o06_indented_direct_1k_candidate.raw
indented_direct_1k	13	1	BC	10.04	10.22	0.017769470512	8320	8576	256	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r13_a1_o03_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r13_a1_o03_indented_direct_1k_candidate.raw
indented_direct_1k	14	1	CB	9.52	10.16	0.065063593347	8320	8832	512	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r14_a1_o06_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r14_a1_o06_indented_direct_1k_candidate.raw
