round	stratum	case	items	repeats	baseline_wall	baseline_rss_kb	candidate_wall	candidate_rss_kb	baseline_exit	candidate_exit	baseline_affinity	candidate_affinity	baseline_timestamp	candidate_timestamp
9	BC	indented_direct	10000	8	0:10.23	10296	0:10.66	10172	0	0	10	10	2026-08-30T16:20:46+09:00	2026-08-30T16:20:56+09:00
9	BC	braced_direct	1000	50	0:08.95	8576	0:09.49	8320	0	0	10	10	2026-08-30T16:21:12+09:00	2026-08-30T16:21:21+09:00
9	BC	braced_direct	10000	8	0:15.61	10276	0:15.04	10032	0	0	10	10	2026-08-30T16:21:35+09:00	2026-08-30T16:21:51+09:00
10	CB	braced_direct	10000	8	0:15.80	10148	0:15.86	10156	0	0	10	10	2026-08-30T16:22:27+09:00	2026-08-30T16:22:12+09:00
10	CB	braced_direct	1000	50	0:09.35	8704	0:10.18	8448	0	0	10	10	2026-08-30T16:22:59+09:00	2026-08-30T16:22:48+09:00
10	CB	indented_direct	10000	8	0:15.72	10296	0:16.22	10328	0	0	10	10	2026-08-30T16:23:29+09:00	2026-08-30T16:23:13+09:00
10	CB	indented_direct	1000	50	0:09.59	8576	0:09.60	8448	0	0	10	10	2026-08-30T16:24:00+09:00	2026-08-30T16:23:50+09:00
10	CB	braced_ast	10000	8	0:12.15	35552	0:12.25	35692	0	0	10	10	2026-08-30T16:24:27+09:00	2026-08-30T16:24:14+09:00
10	CB	braced_ast	1000	50	0:07.75	10400	0:07.81	10412	0	0	10	10	2026-08-30T16:24:52+09:00	2026-08-30T16:24:44+09:00
10	CB	indented_ast	10000	8	0:12.35	35572	0:10.44	35704	0	0	10	10	2026-08-30T16:25:15+09:00	2026-08-30T16:25:04+09:00
10	CB	indented_ast	1000	50	0:07.60	10528	0:07.86	10412	0	0	10	10	2026-08-30T16:25:40+09:00	2026-08-30T16:25:32+09:00
11	BC	indented_ast	1000	50	0:08.04	10532	0:07.97	10540	0	0	10	10	2026-08-30T16:25:53+09:00	2026-08-30T16:26:01+09:00
11	BC	indented_ast	10000	8	0:12.25	35700	0:12.78	35720	0	0	10	10	2026-08-30T16:26:14+09:00	2026-08-30T16:26:26+09:00
11	BC	braced_ast	1000	50	0:07.21	10528	0:07.05	10412	0	0	10	10	2026-08-30T16:26:44+09:00	2026-08-30T16:26:51+09:00
11	BC	braced_ast	10000	8	0:12.37	35680	0:12.14	35820	0	0	10	10	2026-08-30T16:27:03+09:00	2026-08-30T16:27:16+09:00
11	BC	indented_direct	1000	50	0:09.08	8448	0:09.62	8448	0	0	10	10	2026-08-30T16:27:33+09:00	2026-08-30T16:27:42+09:00
11	BC	indented_direct	10000	8	0:14.96	10300	0:15.72	10172	0	0	10	10	2026-08-30T16:27:57+09:00	2026-08-30T16:28:12+09:00
11	BC	braced_direct	1000	50	0:08.62	8576	0:09.03	8704	0	0	10	10	2026-08-30T16:28:33+09:00	2026-08-30T16:28:41+09:00
11	BC	braced_direct	10000	8	0:14.57	10276	0:14.89	10412	0	0	10	10	2026-08-30T16:28:55+09:00	2026-08-30T16:29:10+09:00
12	CB	braced_direct	10000	8	0:14.79	10276	0:14.83	10156	0	0	10	10	2026-08-30T16:29:45+09:00	2026-08-30T16:29:30+09:00
12	CB	braced_direct	1000	50	0:09.15	8704	0:09.44	8448	0	0	10	10	2026-08-30T16:30:14+09:00	2026-08-30T16:30:05+09:00
12	CB	indented_direct	10000	8	0:16.03	10040	0:15.24	10172	0	0	10	10	2026-08-30T16:30:44+09:00	2026-08-30T16:30:28+09:00
12	CB	indented_direct	1000	50	0:09.26	8576	0:09.48	8448	0	0	10	10	2026-08-30T16:31:14+09:00	2026-08-30T16:31:05+09:00
12	CB	braced_ast	10000	8	0:12.35	35680	0:12.40	35832	0	0	10	10	2026-08-30T16:31:41+09:00	2026-08-30T16:31:29+09:00
12	CB	braced_ast	1000	50	0:07.46	10528	0:07.82	10412	0	0	10	10	2026-08-30T16:32:06+09:00	2026-08-30T16:31:58+09:00
12	CB	indented_ast	10000	8	0:12.71	35700	0:12.44	35720	0	0	10	10	2026-08-30T16:32:31+09:00	2026-08-30T16:32:19+09:00
12	CB	indented_ast	1000	50	0:07.76	10404	0:07.58	10416	0	0	10	10	2026-08-30T16:32:57+09:00	2026-08-30T16:32:49+09:00
13	BC	indented_ast	1000	50	0:07.85	10532	0:07.75	10668	0	0	10	10	2026-08-30T16:33:10+09:00	2026-08-30T16:33:17+09:00
13	BC	indented_ast	10000	8	0:12.40	35700	0:12.49	35708	0	0	10	10	2026-08-30T16:33:30+09:00	2026-08-30T16:33:43+09:00
13	BC	braced_ast	1000	50	0:07.51	10400	0:07.34	10540	0	0	10	10	2026-08-30T16:34:00+09:00	2026-08-30T16:34:08+09:00
13	BC	braced_ast	10000	8	0:12.09	35552	0:11.65	35692	0	0	10	10	2026-08-30T16:34:20+09:00	2026-08-30T16:34:32+09:00
13	BC	indented_direct	1000	50	0:08.45	8576	0:08.63	8704	0	0	10	10	2026-08-30T16:34:49+09:00	2026-08-30T16:34:58+09:00
13	BC	indented_direct	10000	8	0:15.18	10296	0:15.09	10172	0	0	10	10	2026-08-30T16:35:11+09:00	2026-08-30T16:35:26+09:00
13	BC	braced_direct	1000	50	0:08.40	8448	0:09.27	8448	0	0	10	10	2026-08-30T16:35:47+09:00	2026-08-30T16:35:55+09:00
13	BC	braced_direct	10000	8	0:16.23	10276	0:13.33	10284	0	0	10	10	2026-08-30T16:36:09+09:00	2026-08-30T16:36:26+09:00
14	CB	braced_direct	10000	8	0:14.79	10032	0:15.68	10028	0	0	10	10	2026-08-30T16:37:00+09:00	2026-08-30T16:36:44+09:00
14	CB	braced_direct	1000	50	0:09.90	8320	0:10.09	8320	0	0	10	10	2026-08-30T16:37:30+09:00	2026-08-30T16:37:20+09:00
14	CB	indented_direct	10000	8	0:17.46	10300	0:17.31	10428	0	0	10	10	2026-08-30T16:38:02+09:00	2026-08-30T16:37:45+09:00
14	CB	indented_direct	1000	50	0:10.40	8704	0:10.44	8576	0	0	10	10	2026-08-30T16:38:35+09:00	2026-08-30T16:38:25+09:00
14	CB	braced_ast	10000	8	0:14.89	35680	0:14.79	35564	0	0	10	10	2026-08-30T16:39:05+09:00	2026-08-30T16:38:51+09:00
14	CB	braced_ast	1000	50	0:08.66	10656	0:08.60	10540	0	0	10	10	2026-08-30T16:39:34+09:00	2026-08-30T16:39:25+09:00
14	CB	indented_ast	10000	8	0:15.14	35712	0:15.04	35708	0	0	10	10	2026-08-30T16:40:03+09:00	2026-08-30T16:39:48+09:00
14	CB	indented_ast	1000	50	0:09.38	10532	0:09.77	10412	0	0	10	10	2026-08-30T16:40:33+09:00	2026-08-30T16:40:23+09:00
